Address Count,Avg Gas Price,Block Difficulty,Block Size,Block Time,Unique Daily Active Eth Address Total Count,Unique Daily Active Eth Address Receive Count,Unique Daily Active Eth Address Sent Count,Gas Limit,Gas Used,Uncles,Network Hash,Verified Contracts,Network Utilization,No. of ERC20 Token Transfers,Transaction Fee,Tx Growth,Supply,MarketCap,Price,weekday,day,Next Price
99249376,33659377964.0,2300.422,27272,13.18,346995,277960,213042,9984256,60551833065.0,450,183447.9762,72,0.9431,460933,1.9e+21,881950,111147578.2,27072.215630000002,243.57,0,5,231.73
99377607,28385719806.0,2328.437,29261,13.08,328248,262815,198581,9982447,61203032008.0,442,186409.674,56,0.9478,463271,1.57e+21,850103,111161261.6,25759.39915,231.73,0,6,248.21
99501528,32379485381.0,2299.27,29940,13.24,355227,280897,226840,9980666,59422202661.0,463,182664.2025,94,0.9309,499801,1.8e+21,929874,111174837.0,27594.7063,248.21,1,0,237.81
99631855,36613726636.0,2308.87,30160,13.12,388814,310760,238820,9980480,60656887961.0,469,185110.461,73,0.9418,529945,2.08e+21,980902,111188537.8,26441.746180000002,237.81,1,1,244.56
99758353,29769950061.0,2357.415,27391,13.28,352013,280355,208847,9979408,60245383681.0,437,186574.1541,102,0.9437,484729,1.62e+21,898364,111202070.2,27195.57828,244.56,1,2,243.35
99914268,31888384257.0,2367.81,28846,13.21,366835,291466,219370,9981730,60867856811.0,410,187369.4002,77,0.9497,508151,1.74e+21,930407,111215610.5,27064.31882,243.35,1,3,240.08
100165981,32258089816.0,2316.215,27446,13.06,347352,271335,210192,9981234,61502016231.0,457,186074.6592,85,0.9511,486211,1.82e+21,901995,111229345.8,26703.94135,240.08,1,4,242.08
100333342,38721024282.0,2340.879,29092,13.2,332189,250853,199382,9978583,61088327324.0,431,186023.9917,39,0.9526,557473,2.06e+21,946196,111242938.8,26929.690619999998,242.08,0,5,244.75
100449362,40787069912.0,2366.153,29164,13.1,317232,233340,201189,9980244,60748748486.0,420,188580.2037,43,0.9420000000000001,573222,2.24e+21,943786,111256580.5,27230.048089999997,244.75,0,6,246.47
100566359,41524824461.0,2333.228,29047,13.26,369337,274452,234984,9978900,60052985764.0,440,185010.9266,87,0.9390000000000001,535339,2.27e+21,966206,111270140.8,27424.7516,246.47,1,0,244.0
